playerId,In,Ex
1830,30,11
1831,31,1
1832,19,12
1833,23,11
1834,28,10
1835,28,10
1836,19,11
1837,23,11
1838,28,1
1839,31,1
1840,28,1
1841,31,1
1842,31,1
1843,31,1
1844,31,1
1845,31,1
1846,23,9
1847,19,9
1848,31,1
1849,28,9
1850,19,11
1851,23,10
1852,31,1
1853,28,9
1854,31,2
1855,30,12
1856,19,11
1857,20,10
1858,23,11
1859,24,10
1860,31,1
1861,31,1
1862,31,1
1863,31,1
1865,20,10
1866,24,8
1868,31,1
1869,19,5
1870,19,1
1871,30,9
1872,31,1
1873,23,1
1874,28,10
1875,31,2
1876,19,9
1877,20,9
1878,23,9
1879,24,9
1880,19,5
1881,20,8
1882,23,3
1883,24,6
1886,31,1
1887,19,1
1888,31,1
1889,21,9
1890,21,9
1891,22,1
1892,19,7
1893,19,3
1894,21,10
1895,21,9
1896,43,5
1897,30,3
1898,30,2
1899,30,2
1900,30,3
1901,30,3
1902,30,1
1903,30,2
1904,30,8
1905,30,10
1906,30,1
1907,30,1
1908,30,4
1909,30,2
1910,30,1
1911,30,9
1912,30,8
1913,30,9
1914,30,10
1915,30,10
1916,30,10
1917,30,2
1918,30,3
1919,30,1
1920,30,8
1921,30,10
1922,30,3
1923,30,8
1924,30,1
1925,30,5
1926,30,2
1927,31,1
1928,23,1
1929,31,1
1930,31,1
1931,30,9
1932,19,5
1933,23,3
1934,31,1
1935,31,1
1936,31,1
1937,30,9
1938,31,2
1939,28,10
1940,19,9
1941,23,10
1942,19,6
1943,23,5
1944,19,7
1945,23,4
1946,19,10
1947,30,1
1948,31,1
1949,31,1
1950,31,1
1951,31,1
1952,30,1
1953,19,8
1954,23,3
1955,4,1
1956,4,7
1957,4,1
1958,4,9
1959,19,1
1960,23,1
1961,21,1
1962,19,1
1963,30,3
1964,31,1
1965,20,2
1966,30,3
1967,31,3
1968,30,9
1969,20,9
1970,20,7
1971,20,9
1972,23,1
1973,19,3
1974,23,2
1975,63,1
1976,63,1
1977,63,1
1978,63,1
1979,63,1
1980,63,1
1981,31,1
1982,31,1
1983,19,8
1984,23,1
1985,19,9
1986,23,7
1987,30,9
1988,22,9
1989,31,1
1990,31,1
1991,31,1
1992,28,10
1993,31,1
1994,31,1
1995,31,2
1996,31,1
1997,31,2
1998,31,1
1999,31,1
2000,31,1
2001,31,1
2002,31,1
2003,31,1
2004,31,1
2005,31,1
2006,31,1
2007,31,1
2008,31,2
2009,31,1
2010,31,2
2011,31,2
2012,31,2
2013,31,1
2014,31,2
2015,31,2
2016,31,2
2017,31,2
2018,31,2
2019,31,1
2020,31,2
2021,31,2
2022,31,2
2023,31,2
2024,31,2
2025,31,1
2026,31,1
2027,31,1
2028,31,1
2029,31,1
2030,31,2
2031,19,8
2032,23,10
2033,31,1
2034,31,2
2035,20,7
2036,24,3
2037,31,1
2038,31,1
2039,30,10
2040,19,9
2041,23,7
2042,31,2
2043,31,1
2044,31,1
2045,31,1
2046,31,1
2047,30,12
2048,31,1
2049,19,8
2050,20,8
2051,31,3
2052,77,1
2053,77,1
2054,30,2
2055,28,1
2056,19,4
2057,23,2
2058,30,2
2059,20,3
2060,31,2
2061,30,3
2062,23,6
2063,19,6
2064,21,1
2065,27,1
2066,31,1
2067,19,5
2068,30,6
2069,31,2
2070,30,12
2071,28,10
2072,19,9
2073,23,9
2074,21,2
2075,31,1
2076,59,2
2077,55,4
2078,55,8
2079,55,1
2080,55,1
2081,58,2
2082,55,4
2083,55,1
2084,55,8
2085,56,3
2086,55,6
2087,55,7
2088,58,3
2089,55,5
2090,55,9
2091,58,2
2092,56,1
2093,55,3
2094,55,4
2095,56,1
2096,56,1
2097,55,4
2098,56,1
2099,55,9
2100,55,9
2101,56,3
2102,55,4
2103,55,5
2104,55,9
2105,56,1
2106,55,5
2107,59,3
2108,55,7
2109,55,8
2110,57,4
2111,55,3
2112,56,1
2113,56,2
2114,58,2
2115,55,1
2116,58,3
2117,55,6
2118,58,1
2119,58,3
2120,55,2
2121,55,1
2122,58,3
2123,55,7
2124,55,8
2125,55,5
2126,55,4
2127,55,1
2128,56,1
2129,55,7
2130,55,2
2131,55,4
2132,55,3
2133,55,1
2134,55,1
2135,40,9
2136,38,9
2137,37,9
2138,55,1
2139,55,2
2140,55,9
2141,58,4
2142,59,1
2143,58,1
2144,55,5
2145,55,2
2146,58,2
2147,56,2
2148,59,3
2149,59,3
2150,59,3
2151,59,1
2152,55,7
2153,58,1
2154,58,3
2155,55,1
2156,58,3
2157,56,1
2158,58,2
2159,58,3
2160,56,3
2161,58,3
2162,59,2
2163,55,10
2164,58,4
2165,59,1
2166,58,1
2167,59,2
2168,56,3
2169,56,1
2170,56,1
2171,59,3
2172,56,1
2173,56,1
2174,55,5
2175,55,4
